"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 14, 2010","3,623.05","3,629.22","3,635.77","3,600.55","-","0.43%"
"Jan 13, 2010","3,607.48","3,591.76","3,614.31","3,584.55","-","0.34%"
"Jan 12, 2010","3,595.29","3,653.61","3,663.39","3,584.23","-","-1.61%"
"Jan 11, 2010","3,654.27","3,664.82","3,686.80","3,648.61","-","0.05%"
"Jan 08, 2010","3,652.53","3,647.09","3,661.87","3,612.98","-","0.30%"
"Jan 07, 2010","3,641.49","3,639.94","3,652.50","3,606.33","-","-0.25%"
"Jan 06, 2010","3,650.54","3,649.37","3,658.56","3,628.01","-","0.04%"
"Jan 05, 2010","3,649.05","3,656.36","3,664.88","3,639.26","-","-0.27%"
"Jan 04, 2010","3,658.99","3,614.97","3,658.99","3,614.31","-","1.53%"
"Dec 30, 2009","3,604.02","3,631.16","3,635.07","3,599.19","-","-0.90%"
"Dec 29, 2009","3,636.77","3,636.38","3,645.92","3,630.51","-","0.14%"
"Dec 28, 2009","3,631.54","3,616.46","3,636.60","3,616.46","-","0.76%"
"Dec 23, 2009","3,604.03","3,609.27","3,622.69","3,590.53","-","0.20%"
"Dec 22, 2009","3,596.92","3,592.99","3,618.87","3,587.23","-","0.26%"
"Dec 21, 2009","3,587.75","3,534.07","3,591.22","3,534.00","-","1.70%"
"Dec 18, 2009","3,527.66","3,537.20","3,569.65","3,526.71","-","-0.23%"
"Dec 17, 2009","3,535.66","3,559.69","3,564.06","3,529.29","-","-1.00%"
"Dec 16, 2009","3,571.35","3,516.57","3,571.35","3,516.15","-","1.58%"
"Dec 15, 2009","3,515.64","3,518.36","3,525.86","3,479.87","-","0.16%"
"Dec 14, 2009","3,510.15","3,510.71","3,525.26","3,495.97","-","0.80%"
"Dec 11, 2009","3,482.34","3,457.01","3,504.58","3,457.01","-","0.83%"
"Dec 10, 2009","3,453.74","3,416.01","3,473.57","3,410.14","-","1.08%"
"Dec 09, 2009","3,416.73","3,432.07","3,455.65","3,391.07","-","-0.72%"
"Dec 08, 2009","3,441.38","3,487.18","3,514.71","3,423.72","-","-1.66%"
"Dec 07, 2009","3,499.56","3,516.11","3,516.46","3,474.40","-","-0.57%"
"Dec 04, 2009","3,519.45","3,480.26","3,544.68","3,462.97","-","0.82%"
"Dec 03, 2009","3,490.84","3,511.89","3,540.76","3,481.54","-","-0.20%"
"Dec 02, 2009","3,497.70","3,491.54","3,516.78","3,479.90","-","0.09%"
"Dec 01, 2009","3,494.63","3,420.38","3,494.63","3,419.90","-","2.68%"
"Nov 30, 2009","3,403.48","3,443.35","3,459.38","3,392.52","-","-1.05%"
"Nov 27, 2009","3,439.58","3,376.00","3,459.49","3,339.07","-","1.27%"
"Nov 26, 2009","3,396.36","3,499.76","3,499.78","3,385.96","-","-3.25%"
"Nov 25, 2009","3,510.61","3,505.55","3,524.43","3,480.86","-","0.58%"
"Nov 24, 2009","3,490.21","3,486.13","3,517.36","3,475.85","-","-0.55%"
"Nov 23, 2009","3,509.68","3,441.86","3,522.80","3,441.86","-","2.44%"
"Nov 20, 2009","3,425.99","3,463.36","3,475.22","3,410.97","-","-0.68%"
"Nov 19, 2009","3,449.60","3,499.05","3,503.84","3,441.41","-","-1.48%"
"Nov 18, 2009","3,501.29","3,504.78","3,534.96","3,491.03","-","0.16%"
"Nov 17, 2009","3,495.73","3,501.80","3,510.18","3,484.90","-","-0.45%"
"Nov 16, 2009","3,511.70","3,458.85","3,516.55","3,458.85","-","2.07%"
"Nov 13, 2009","3,440.32","3,425.19","3,448.59","3,397.27","-","0.40%"
"Nov 12, 2009","3,426.48","3,422.81","3,464.24","3,407.61","-","-0.08%"
"Nov 11, 2009","3,429.14","3,407.80","3,451.84","3,407.80","-","0.98%"
"Nov 10, 2009","3,395.77","3,404.22","3,418.57","3,389.33","-","-0.12%"
"Nov 09, 2009","3,399.71","3,335.97","3,403.61","3,335.97","-","2.40%"
"Nov 06, 2009","3,320.18","3,305.84","3,343.54","3,273.17","-","0.13%"
"Nov 05, 2009","3,315.75","3,269.71","3,334.55","3,240.26","-","0.67%"
"Nov 04, 2009","3,293.55","3,253.58","3,309.75","3,245.57","-","1.70%"
"Nov 03, 2009","3,238.57","3,274.09","3,274.09","3,213.94","-","-1.43%"
"Nov 02, 2009","3,285.44","3,273.22","3,310.37","3,252.65","-","0.29%"
"Oct 30, 2009","3,275.85","3,383.64","3,386.15","3,263.65","-","-3.09%"
"Oct 29, 2009","3,380.20","3,322.43","3,381.87","3,304.03","-","1.66%"
"Oct 28, 2009","3,325.03","3,411.77","3,415.62","3,323.41","-","-2.46%"
"Oct 27, 2009","3,408.97","3,419.77","3,432.07","3,386.35","-","-0.13%"
"Oct 26, 2009","3,413.29","3,487.02","3,508.43","3,402.37","-","-1.71%"
"Oct 23, 2009","3,472.63","3,501.51","3,538.23","3,467.45","-","-0.39%"
"Oct 22, 2009","3,486.35","3,512.13","3,512.36","3,456.04","-","-1.21%"
"Oct 21, 2009","3,529.04","3,525.17","3,543.98","3,470.57","-","0.37%"
"Oct 20, 2009","3,515.90","3,542.73","3,562.14","3,509.65","-","-0.70%"
"Oct 19, 2009","3,540.58","3,485.37","3,543.34","3,485.37","-","1.90%"
"Oct 16, 2009","3,474.53","3,536.42","3,560.67","3,467.07","-","-1.50%"
"Oct 15, 2009","3,527.40","3,541.11","3,550.65","3,512.35","-","-0.40%"
"Oct 14, 2009","3,541.53","3,482.58","3,544.86","3,482.55","-","2.45%"
"Oct 13, 2009","3,456.94","3,495.40","3,500.87","3,445.36","-","-1.19%"
"Oct 12, 2009","3,498.64","3,464.80","3,517.38","3,464.80","-","1.25%"
"Oct 09, 2009","3,455.47","3,449.19","3,477.52","3,432.36","-","-0.08%"
"Oct 08, 2009","3,458.29","3,435.89","3,465.14","3,428.19","-","1.34%"
"Oct 07, 2009","3,412.44","3,418.19","3,442.79","3,403.75","-","-0.30%"
"Oct 06, 2009","3,422.66","3,338.60","3,425.30","3,338.60","-","2.70%"
"Oct 05, 2009","3,332.65","3,313.87","3,334.33","3,291.13","-","0.75%"
"Oct 02, 2009","3,307.87","3,347.04","3,349.45","3,292.39","-","-1.56%"
"Oct 01, 2009","3,360.29","3,437.32","3,464.60","3,360.11","-","-2.13%"
"Sep 30, 2009","3,433.26","3,465.51","3,475.26","3,399.57","-","-0.67%"
"Sep 29, 2009","3,456.46","3,470.54","3,482.32","3,442.35","-","-0.40%"
"Sep 28, 2009","3,470.25","3,384.98","3,470.25","3,360.28","-","2.78%"
"Sep 25, 2009","3,376.54","3,397.34","3,399.96","3,363.27","-","-0.42%"
"Sep 24, 2009","3,390.94","3,438.90","3,473.41","3,379.45","-","-1.70%"
"Sep 23, 2009","3,449.53","3,451.84","3,480.97","3,431.39","-","-0.13%"
"Sep 22, 2009","3,453.96","3,440.32","3,480.16","3,440.32","-","0.72%"
"Sep 21, 2009","3,429.32","3,447.39","3,447.39","3,398.55","-","-0.62%"
"Sep 18, 2009","3,450.60","3,455.15","3,485.08","3,448.91","-","-0.48%"
"Sep 17, 2009","3,467.12","3,461.82","3,477.47","3,450.23","-","0.54%"
"Sep 16, 2009","3,448.44","3,412.59","3,456.44","3,412.56","-","1.27%"
"Sep 15, 2009","3,405.32","3,410.30","3,417.83","3,378.43","-","0.16%"
"Sep 14, 2009","3,400.03","3,387.54","3,402.15","3,346.83","-","-0.07%"
"Sep 11, 2009","3,402.32","3,388.79","3,419.94","3,388.79","-","0.52%"
"Sep 10, 2009","3,384.62","3,385.64","3,404.10","3,355.95","-","0.37%"
"Sep 09, 2009","3,372.22","3,305.47","3,374.57","3,297.28","-","1.69%"
"Sep 08, 2009","3,316.24","3,311.98","3,328.97","3,300.30","-","0.33%"
"Sep 07, 2009","3,305.22","3,267.26","3,313.46","3,267.26","-","1.47%"
"Sep 04, 2009","3,257.38","3,223.59","3,269.39","3,218.57","-","1.57%"
"Sep 03, 2009","3,207.16","3,225.96","3,245.04","3,193.29","-","-0.35%"
"Sep 02, 2009","3,218.30","3,221.99","3,229.19","3,183.98","-","-0.14%"
"Sep 01, 2009","3,222.81","3,314.80","3,331.82","3,222.81","-","-2.51%"
"Aug 31, 2009","3,305.88","3,311.94","3,324.60","3,289.74","-","-0.96%"
"Aug 28, 2009","3,337.79","3,334.65","3,371.99","3,328.78","-","0.86%"
"Aug 27, 2009","3,309.34","3,335.09","3,351.75","3,286.19","-","-0.94%"
"Aug 26, 2009","3,340.58","3,356.79","3,371.13","3,327.35","-","-0.63%"
"Aug 25, 2009","3,361.83","3,317.00","3,372.98","3,310.73","-","0.68%"
"Aug 24, 2009","3,339.24","3,316.77","3,346.51","3,316.02","-","1.04%"
"Aug 21, 2009","3,304.75","3,203.88","3,314.09","3,197.97","-","2.86%"
"Aug 20, 2009","3,212.99","3,183.10","3,221.95","3,183.10","-","1.51%"
"Aug 19, 2009","3,165.15","3,152.14","3,178.30","3,120.76","-","-0.36%"
"Aug 18, 2009","3,176.50","3,156.75","3,176.50","3,146.09","-","0.94%"
"Aug 17, 2009","3,146.78","3,204.08","3,204.08","3,129.98","-","-2.02%"
"Aug 14, 2009","3,211.81","3,268.60","3,293.49","3,200.12","-","-1.70%"
"Aug 13, 2009","3,267.47","3,241.25","3,300.23","3,241.25","-","0.95%"
"Aug 12, 2009","3,236.60","3,196.26","3,247.21","3,177.35","-","1.22%"
"Aug 11, 2009","3,197.71","3,280.80","3,300.17","3,189.58","-","-2.44%"
"Aug 10, 2009","3,277.76","3,298.13","3,298.37","3,261.17","-","-0.75%"
"Aug 07, 2009","3,302.46","3,246.46","3,315.76","3,214.03","-","1.66%"
"Aug 06, 2009","3,248.64","3,260.49","3,280.12","3,230.71","-","0.32%"
"Aug 05, 2009","3,238.37","3,270.65","3,298.11","3,226.58","-","-1.18%"
"Aug 04, 2009","3,277.09","3,278.19","3,283.47","3,242.86","-","-0.18%"
"Aug 03, 2009","3,283.04","3,224.97","3,305.10","3,211.96","-","1.78%"
"Jul 31, 2009","3,225.75","3,236.02","3,256.52","3,208.53","-","-0.53%"
"Jul 30, 2009","3,243.00","3,202.40","3,264.95","3,176.96","-","1.71%"
"Jul 29, 2009","3,188.34","3,126.98","3,211.03","3,121.15","-","1.85%"
"Jul 28, 2009","3,130.52","3,183.25","3,208.75","3,130.13","-","-1.46%"
"Jul 27, 2009","3,176.99","3,192.82","3,212.12","3,155.78","-","0.42%"
"Jul 24, 2009","3,163.56","3,166.28","3,207.46","3,147.03","-","-0.34%"
"Jul 23, 2009","3,174.41","3,102.98","3,181.40","3,086.07","-","2.45%"
"Jul 22, 2009","3,098.35","3,084.60","3,108.00","3,055.30","-","0.54%"
"Jul 21, 2009","3,081.66","3,049.73","3,110.33","3,041.32","-","1.27%"
"Jul 20, 2009","3,043.05","3,033.59","3,063.29","3,029.62","-","1.04%"
"Jul 17, 2009","3,011.74","3,012.72","3,035.46","3,001.00","-","0.43%"
"Jul 16, 2009","2,998.91","2,976.88","3,024.01","2,966.88","-","0.58%"
"Jul 15, 2009","2,981.52","2,903.37","2,981.53","2,903.02","-","3.07%"
"Jul 14, 2009","2,892.74","2,864.01","2,905.62","2,846.89","-","1.26%"
"Jul 13, 2009","2,856.84","2,761.61","2,856.84","2,736.85","-","3.19%"
"Jul 10, 2009","2,768.50","2,790.76","2,809.77","2,764.71","-","-1.16%"
"Jul 09, 2009","2,801.02","2,782.93","2,825.12","2,780.60","-","1.26%"
"Jul 08, 2009","2,766.28","2,779.72","2,801.35","2,757.42","-","-0.56%"
"Jul 07, 2009","2,781.73","2,821.16","2,845.32","2,777.20","-","-1.15%"
"Jul 06, 2009","2,814.18","2,824.97","2,835.40","2,789.61","-","-1.20%"
"Jul 03, 2009","2,848.29","2,866.31","2,872.55","2,834.41","-","-0.22%"
"Jul 02, 2009","2,854.51","2,958.87","2,958.87","2,854.51","-","-3.81%"
"Jul 01, 2009","2,967.61","2,916.28","2,982.67","2,915.26","-","2.01%"
"Jun 30, 2009","2,909.05","2,962.78","2,967.73","2,897.87","-","-1.56%"
"Jun 29, 2009","2,955.30","2,884.52","2,965.14","2,881.20","-","2.27%"
"Jun 26, 2009","2,889.58","2,914.82","2,944.23","2,875.95","-","-0.50%"
"Jun 25, 2009","2,904.16","2,926.83","2,926.83","2,855.56","-","-0.73%"
"Jun 24, 2009","2,925.60","2,860.74","2,928.23","2,842.23","-","2.74%"
"Jun 23, 2009","2,847.65","2,831.43","2,875.30","2,825.05","-","0.29%"
"Jun 22, 2009","2,839.33","2,926.37","2,931.70","2,839.29","-","-3.02%"
"Jun 19, 2009","2,927.69","2,931.41","2,951.83","2,913.68","-","0.02%"
"Jun 18, 2009","2,927.06","2,911.17","2,939.94","2,885.88","-","0.76%"
"Jun 17, 2009","2,904.88","2,955.05","2,957.10","2,881.34","-","-1.86%"
"Jun 16, 2009","2,959.82","2,965.28","2,985.81","2,947.18","-","0.02%"
"Jun 15, 2009","2,959.26","3,057.69","3,057.69","2,957.17","-","-3.56%"
"Jun 12, 2009","3,068.38","3,086.17","3,092.63","3,053.18","-","-0.76%"
"Jun 11, 2009","3,091.76","3,051.07","3,099.91","3,049.91","-","1.11%"
"Jun 10, 2009","3,057.85","3,055.52","3,107.65","3,047.90","-","1.08%"
"Jun 09, 2009","3,025.30","3,037.96","3,065.69","3,015.78","-","-0.14%"
"Jun 08, 2009","3,029.56","3,063.15","3,063.15","3,008.71","-","-1.43%"
"Jun 05, 2009","3,073.36","3,082.55","3,126.73","3,055.67","-","0.25%"
"Jun 04, 2009","3,065.59","3,061.91","3,099.41","3,053.15","-","0.22%"
"Jun 03, 2009","3,058.80","3,117.03","3,122.07","3,047.78","-","-1.75%"
"Jun 02, 2009","3,113.35","3,095.82","3,133.54","3,083.39","-","0.05%"
"Jun 01, 2009","3,111.85","3,020.48","3,120.28","3,019.93","-","4.10%"
"May 29, 2009","2,989.35","3,003.85","3,030.82","2,981.24","-","0.17%"
"May 28, 2009","2,984.38","3,000.02","3,017.29","2,955.42","-","-1.38%"
"May 27, 2009","3,026.14","3,027.00","3,047.47","3,003.19","-","0.24%"
"May 26, 2009","3,018.77","2,961.45","3,023.80","2,907.85","-","1.37%"
"May 25, 2009","2,978.07","2,988.84","2,992.53","2,924.47","-","-0.01%"
"May 22, 2009","2,978.42","2,970.01","3,006.38","2,947.95","-","0.36%"
"May 21, 2009","2,967.61","3,026.21","3,026.21","2,951.91","-","-2.83%"
