Date,Price,Open,High,Low,Vol,Change %
20-Apr-15,"15,412.60","15,376.78","15,483.12","15,376.78",153.46M,0.34%
17-Apr-15,"15,360.55","15,364.63","15,367.56","15,275.53",163.53M,-0.17%
16-Apr-15,"15,386.77","15,429.72","15,454.25","15,324.96",208.30M,-0.41%
15-Apr-15,"15,450.87","15,437.02","15,524.75","15,437.02",254.30M,0.40%
14-Apr-15,"15,389.28","15,372.11","15,402.98","15,342.06",179.25M,0.04%
13-Apr-15,"15,383.59","15,401.34","15,446.45","15,352.14",154.72M,-0.03%
10-Apr-15,"15,388.43","15,362.27","15,406.06","15,350.36",179.80M,0.41%
09-Apr-15,"15,326.31","15,216.21","15,359.30","15,216.21",176.80M,0.74%
08-Apr-15,"15,213.60","15,188.59","15,249.52","15,175.35",177.05M,0.16%
07-Apr-15,"15,188.84","15,115.25","15,266.62","15,115.25",221.95M,0.58%
06-Apr-15,"15,100.65","15,028.73","15,160.72","15,016.49",157.70M,0.49%
02-Apr-15,"15,026.62","14,925.54","15,070.31","14,912.33",156.41M,0.56%
01-Apr-15,"14,942.55","14,925.16","14,972.28","14,878.53",188.68M,0.27%
31-Mar-15,"14,902.44","14,867.80","14,962.83","14,813.71",201.75M,-0.04%
30-Mar-15,"14,908.39","14,855.40","14,994.95","14,855.40",167.65M,0.65%
27-Mar-15,"14,812.42","14,856.08","14,897.78","14,717.68",147.46M,-0.39%
26-Mar-15,"14,869.80","14,945.39","14,996.74","14,848.99",207.99M,-0.40%
25-Mar-15,"14,929.37","15,103.16","15,161.61","14,929.37",221.78M,-1.01%
24-Mar-15,"15,081.26","14,959.42","15,103.18","14,930.92",179.67M,0.83%
23-Mar-15,"14,957.21","14,962.87","15,019.07","14,925.10",161.63M,0.10%
20-Mar-15,"14,942.41","14,913.86","14,998.03","14,913.86",496.19M,0.46%
19-Mar-15,"14,873.93","14,942.45","14,964.18","14,817.49",184.97M,-0.59%
18-Mar-15,"14,962.24","14,869.00","15,028.01","14,825.18",201.34M,0.43%
17-Mar-15,"14,898.53","14,817.96","14,922.09","14,722.47",176.40M,0.24%
16-Mar-15,"14,862.76","14,733.51","14,913.54","14,719.27",187.66M,0.89%
13-Mar-15,"14,731.50","14,734.66","14,738.93","14,606.19",185.44M,-0.27%
12-Mar-15,"14,770.72","14,744.84","14,809.06","14,719.68",182.56M,0.21%
11-Mar-15,"14,739.20","14,650.49","14,778.92","14,637.62",189.46M,0.67%
10-Mar-15,"14,641.76","14,784.72","14,784.72","14,627.97",198.31M,-1.43%
09-Mar-15,"14,854.49","14,964.60","14,964.60","14,854.49",182.39M,-0.66%
06-Mar-15,"14,952.50","15,067.46","15,145.28","14,910.30",230.72M,-1.00%
05-Mar-15,"15,103.11","15,136.70","15,189.10","15,094.84",191.33M,0.13%
04-Mar-15,"15,082.84","15,108.70","15,135.92","14,995.07",196.31M,-0.34%
03-Mar-15,"15,133.85","15,258.04","15,258.04","15,109.88",195.70M,-0.85%
02-Mar-15,"15,264.05","15,240.93","15,283.72","15,212.26",192.65M,0.20%
27-Feb-15,"15,234.34","15,237.63","15,333.61","15,234.34",339.75M,-0.04%
26-Feb-15,"15,241.16","15,273.09","15,318.36","15,241.16",189.36M,0.08%
25-Feb-15,"15,228.57","15,201.43","15,258.85","15,155.11",202.16M,0.42%
24-Feb-15,"15,164.97","15,215.10","15,274.99","15,150.70",202.90M,-0.23%
23-Feb-15,"15,200.26","15,127.59","15,204.59","15,120.75",188.33M,0.18%
20-Feb-15,"15,172.24","15,187.71","15,232.74","15,124.30",212.48M,-0.05%
19-Feb-15,"15,180.33","15,198.88","15,211.81","15,099.91",196.61M,-0.21%
18-Feb-15,"15,212.75","15,276.19","15,286.39","15,178.04",216.99M,-0.47%
17-Feb-15,"15,284.61","15,249.03","15,349.01","15,190.16",188.67M,0.13%
13-Feb-15,"15,264.81","15,281.86","15,339.46","15,256.73",194.13M,0.24%
