Date,Price,Open,High,Low,Volume,Change,Country
2012-08-22,5412.85,5395.75,5433.35,5394.8,103.1,-0.15,India
2012-08-21,5421.0,5368.7,5425.15,5368.7,124.34,1.02,India
2012-08-17,5366.3,5368.6,5399.95,5341.7,134.98,0.06,India
2012-08-16,5362.95,5385.95,5390.65,5356.65,134.0,-0.32,India
2012-08-14,5380.35,5343.25,5387.05,5328.8,109.79,0.61,India
2012-08-13,5347.9,5316.35,5352.45,5309.05,107.58,0.52,India
2012-08-10,5320.4,5308.2,5330.1,5294.1,130.09,-0.05,India
2012-08-09,5322.95,5348.3,5368.2,5312.1,181.42,-0.28,India
2012-08-08,5338.0,5345.25,5377.6,5331.05,165.96,0.02,India
2012-08-07,5336.7,5295.4,5350.1,5281.65,130.43,1.03,India
2012-08-06,5282.55,5260.85,5293.2,5260.85,103.15,1.28,India
2012-08-03,5215.7,5195.6,5220.2,5164.65,112.92,-0.23,India
2012-08-02,5227.75,5233.1,5236.9,5209.95,92.97,-0.24,India
2012-08-01,5240.5,5220.7,5246.35,5212.65,113.82,0.22,India
2012-07-31,5229.0,5214.85,5234.55,5154.05,147.06,0.56,India
2012-07-30,5199.8,5129.75,5206.6,5129.75,117.52,1.96,India
2012-07-27,5099.85,5124.3,5149.95,5077.5,131.95,1.13,India
2012-07-26,5043.0,5126.3,5126.3,5032.4,180.13,-1.3,India
2012-07-25,5109.6,5118.4,5121.6,5076.6,130.97,-0.36,India
2012-07-24,5128.2,5128.8,5144.0,5103.25,116.52,0.2,India
2012-07-23,5117.95,5163.25,5164.2,5108.1,104.77,-1.67,India
2012-07-20,5205.1,5233.55,5238.7,5197.5,89.73,-0.72,India
2012-07-19,5242.7,5249.85,5257.75,5233.15,109.77,0.51,India
2012-07-18,5216.3,5199.1,5222.85,5169.05,109.65,0.45,India
2012-07-17,5192.85,5228.05,5236.7,5181.7,111.77,-0.08,India
2012-07-16,5197.25,5232.35,5246.85,5190.45,106.31,-0.57,India
2012-07-13,5227.25,5242.75,5267.15,5216.85,99.05,-0.15,India
2012-07-12,5235.25,5240.0,5261.75,5217.7,131.19,-1.34,India
2012-07-11,5306.3,5315.25,5336.45,5300.25,113.53,-0.73,India
2012-07-10,5345.35,5286.6,5348.55,5284.55,123.95,1.33,India
2012-07-09,5275.15,5283.7,5300.6,5257.75,101.17,-0.79,India
2012-07-06,5316.95,5324.7,5327.2,5287.75,113.3,-0.19,India
2012-07-05,5327.3,5297.05,5333.65,5288.85,118.92,0.47,India
2012-07-04,5302.55,5310.4,5317.65,5273.3,156.0,0.28,India
2012-07-03,5287.95,5298.85,5317.0,5265.95,133.12,0.18,India
2012-07-02,5278.6,5283.85,5302.15,5263.35,126.16,-0.01,India
2012-06-29,5278.9,5191.25,5286.25,5189.0,226.52,2.52,India
2012-06-28,5149.15,5148.95,5159.05,5125.3,143.07,0.14,India
2012-06-27,5141.9,5149.45,5160.1,5129.25,112.27,0.41,India
2012-06-26,5120.8,5107.45,5134.55,5095.5,99.41,0.12,India
2012-06-25,5114.65,5158.5,5194.6,5105.65,123.5,-0.61,India
