Date,Price,Open,High,Low,Volume,Change %,Country
"Sep 08, 2020","4,519.56","4,507.95","4,525.51","4,507.00",101.98M,0.26%,UAE
"Sep 07, 2020","4,507.95","4,522.95","4,537.52","4,507.95",95.40M,-0.33%,UAE
"Sep 06, 2020","4,522.95","4,552.20","4,552.20","4,518.26",76.72M,-0.64%,UAE
"Sep 03, 2020","4,552.20","4,548.15","4,566.27","4,531.83",108.75M,0.11%,UAE
"Sep 02, 2020","4,547.13","4,524.90","4,552.37","4,524.75",102.01M,0.48%,UAE
"Sep 01, 2020","4,525.41","4,519.32","4,555.81","4,515.43",101.78M,0.13%,UAE
"Aug 31, 2020","4,519.32","4,538.00","4,556.71","4,519.03",147.83M,-0.40%,UAE
"Aug 30, 2020","4,537.53","4,535.57","4,548.76","4,519.04",72.27M,0.05%,UAE
"Aug 27, 2020","4,535.15","4,529.79","4,539.29","4,507.47",89.63M,0.12%,UAE
"Aug 26, 2020","4,529.79","4,558.69","4,565.12","4,506.93",82.92M,-0.63%,UAE
"Aug 25, 2020","4,558.69","4,569.91","4,581.17","4,539.90",105.69M,-0.25%,UAE
"Aug 24, 2020","4,569.91","4,543.47","4,575.84","4,535.03",161.61M,0.59%,UAE
"Aug 20, 2020","4,542.96","4,495.27","4,542.96","4,486.82",156.62M,0.94%,UAE
"Aug 19, 2020","4,500.66","4,445.48","4,514.27","4,439.27",160.32M,1.24%,UAE
"Aug 18, 2020","4,445.48","4,430.87","4,445.81","4,417.10",129.00M,0.32%,UAE
"Aug 17, 2020","4,431.33","4,419.63","4,439.23","4,415.34",154.57M,0.41%,UAE
"Aug 16, 2020","4,413.27","4,402.91","4,415.22","4,387.04",145.23M,0.61%,UAE
"Aug 13, 2020","4,386.67","4,360.09","4,386.71","4,355.25",72.98M,0.62%,UAE
"Aug 12, 2020","4,359.58","4,367.70","4,387.80","4,357.92",94.26M,-0.20%,UAE
"Aug 11, 2020","4,368.21","4,353.48","4,392.34","4,352.67",86.33M,0.33%,UAE
"Aug 10, 2020","4,353.71","4,322.54","4,379.05","4,318.62",88.26M,0.51%,UAE
"Aug 09, 2020","4,331.49","4,359.58","4,367.02","4,325.28",46.52M,-0.64%,UAE
"Aug 06, 2020","4,359.58","4,308.98","4,359.58","4,308.98",36.59M,1.25%,UAE
"Aug 05, 2020","4,305.92","4,318.00","4,342.76","4,305.92",54.18M,-0.28%,UAE
"Aug 04, 2020","4,318.00","4,324.10","4,345.22","4,314.11",52.35M,-0.14%,UAE
"Aug 03, 2020","4,324.14","4,304.74","4,330.92","4,297.66",74.61M,0.45%,UAE
"Jul 29, 2020","4,304.74","4,324.33","4,334.00","4,286.24",87.11M,-0.45%,UAE
"Jul 28, 2020","4,324.33","4,330.75","4,335.28","4,297.98",81.05M,-0.15%,UAE
"Jul 27, 2020","4,330.75","4,284.19","4,330.90","4,284.19",43.16M,1.06%,UAE
"Jul 26, 2020","4,285.30","4,262.37","4,298.54","4,256.88",53.62M,0.57%,UAE
"Jul 23, 2020","4,261.07","4,259.13","4,285.22","4,246.05",36.01M,-0.03%,UAE
"Jul 22, 2020","4,262.19","4,256.90","4,273.67","4,238.68",60.48M,0.13%,UAE
"Jul 21, 2020","4,256.66","4,238.74","4,256.66","4,214.83",60.73M,0.43%,UAE
"Jul 20, 2020","4,238.50","4,255.78","4,259.22","4,200.95",64.09M,-0.41%,UAE
"Jul 19, 2020","4,255.78","4,274.76","4,277.78","4,249.69",22.84M,-0.44%,UAE
"Jul 16, 2020","4,274.46","4,221.34","4,274.46","4,221.34",41.45M,1.26%,UAE
"Jul 15, 2020","4,221.11","4,289.35","4,293.97","4,221.11",48.18M,-1.56%,UAE
"Jul 14, 2020","4,287.82","4,304.46","4,305.80","4,272.62",41.75M,-0.45%,UAE
"Jul 13, 2020","4,307.01","4,315.67","4,319.17","4,285.15",32.18M,-0.21%,UAE
"Jul 12, 2020","4,316.18","4,291.54","4,320.30","4,291.54",30.64M,0.48%,UAE
"Jul 09, 2020","4,295.48","4,311.86","4,321.32","4,285.31",44.66M,-0.38%,UAE
"Jul 08, 2020","4,311.86","4,340.22","4,340.22","4,310.98",48.41M,-0.67%,UAE
"Jul 07, 2020","4,341.04","4,318.96","4,359.10","4,318.96",55.21M,0.52%,UAE
"Jul 06, 2020","4,318.45","4,304.93","4,326.34","4,304.93",70.81M,0.34%,UAE
"Jul 05, 2020","4,303.92","4,311.72","4,328.75","4,302.25",34.21M,-0.18%,UAE
"Jul 02, 2020","4,311.72","4,284.69","4,315.22","4,284.69",40.27M,0.62%,UAE
"Jul 01, 2020","4,285.06","4,285.38","4,314.70","4,267.67",23.76M,-0.02%,UAE
"Jun 30, 2020","4,285.80","4,293.87","4,295.80","4,261.42",31.01M,0.24%,UAE
"Jun 29, 2020","4,275.33","4,303.44","4,311.79","4,267.65",21.61M,-0.68%,UAE
"Jun 28, 2020","4,304.55","4,283.56","4,320.10","4,273.73",16.20M,0.44%,UAE
"Jun 25, 2020","4,285.59","4,327.49","4,327.49","4,268.58",26.76M,-1.02%,UAE
"Jun 24, 2020","4,329.72","4,319.53","4,347.03","4,300.42",70.89M,0.24%,UAE
"Jun 23, 2020","4,319.53","4,346.92","4,350.66","4,319.53",39.58M,-0.63%,UAE
"Jun 22, 2020","4,346.92","4,334.75","4,348.71","4,319.87",32.33M,0.28%,UAE
"Jun 21, 2020","4,334.75","4,345.28","4,345.28","4,321.65",27.52M,-0.24%,UAE
"Jun 18, 2020","4,345.28","4,373.07","4,373.07","4,326.46",97.75M,-0.71%,UAE
"Jun 17, 2020","4,376.42","4,331.37","4,376.42","4,281.53",56.52M,1.10%,UAE
"Jun 16, 2020","4,328.61","4,270.70","4,340.09","4,270.70",40.04M,1.43%,UAE
"Jun 15, 2020","4,267.76","4,275.89","4,286.94","4,227.65",51.00M,-0.20%,UAE
"Jun 14, 2020","4,276.40","4,294.88","4,294.88","4,232.73",23.83M,-0.43%,UAE
"Jun 11, 2020","4,294.88","4,330.25","4,330.25","4,242.82",34.14M,-0.84%,UAE
"Jun 10, 2020","4,331.27","4,332.49","4,342.16","4,310.22",36.69M,-0.02%,UAE
"Jun 09, 2020","4,332.28","4,367.40","4,377.93","4,308.60",44.03M,-0.84%,UAE
"Jun 08, 2020","4,369.08","4,406.59","4,408.55","4,320.03",86.06M,-0.82%,UAE
"Jun 07, 2020","4,405.32","4,303.98","4,421.60","4,303.98",95.52M,2.37%,UAE
"Jun 04, 2020","4,303.14","4,285.16","4,303.14","4,263.67",60.38M,0.43%,UAE
"Jun 03, 2020","4,284.73","4,277.72","4,284.73","4,254.40",60.72M,0.17%,UAE
"Jun 02, 2020","4,277.38","4,168.68","4,277.49","4,167.09",39.94M,2.56%,UAE
"Jun 01, 2020","4,170.71","4,142.12","4,170.75","4,133.10",59.60M,0.70%,UAE
"May 31, 2020","4,141.61","4,116.77","4,147.77","4,098.17",32.96M,0.54%,UAE
"May 28, 2020","4,119.32","4,135.87","4,158.74","4,104.46",138.92M,-0.35%,UAE
"May 27, 2020","4,133.76","4,114.43","4,165.76","4,114.43",57.45M,0.51%,UAE
"May 21, 2020","4,112.90","4,131.12","4,149.05","4,107.99",46.82M,-0.43%,UAE
"May 20, 2020","4,130.84","4,074.30","4,131.69","4,072.50",107.10M,1.39%,UAE
"May 19, 2020","4,074.30","4,062.54","4,101.81","4,062.54",49.15M,0.34%,UAE
"May 18, 2020","4,060.51","4,067.57","4,083.03","4,058.26",45.87M,-0.11%,UAE
"May 17, 2020","4,065.03","4,068.71","4,084.29","4,050.16",19.80M,-0.05%,UAE
"May 14, 2020","4,067.03","4,056.71","4,069.81","4,023.22",28.36M,0.20%,UAE
"May 13, 2020","4,058.95","4,132.42","4,132.42","4,035.88",42.84M,-1.82%,UAE
"May 12, 2020","4,134.10","4,114.15","4,158.98","4,103.14",37.25M,0.33%,UAE
"May 11, 2020","4,120.56","4,118.74","4,121.71","4,040.53",34.69M,0.04%,UAE
"May 10, 2020","4,118.74","4,062.47","4,118.74","4,047.50",20.90M,1.41%,UAE
"May 07, 2020","4,061.62","4,021.32","4,098.13","4,015.11",23.72M,1.00%,UAE
"May 06, 2020","4,021.55","4,104.29","4,109.26","4,021.55",33.84M,-2.00%,UAE
"May 05, 2020","4,103.82","4,038.67","4,110.96","4,038.67",49.26M,1.63%,UAE
"May 04, 2020","4,037.83","4,104.67","4,117.78","4,021.17",57.92M,-1.65%,UAE
"May 03, 2020","4,105.68","4,230.37","4,230.37","4,103.70",32.99M,-2.95%,UAE
"Apr 30, 2020","4,230.37","4,222.82","4,248.77","4,179.56",60.78M,0.20%,UAE
"Apr 29, 2020","4,221.98","4,221.59","4,244.85","4,185.31",64.27M,0.03%,UAE
"Apr 28, 2020","4,220.58","4,169.23","4,220.58","4,097.24",68.08M,1.21%,UAE
"Apr 27, 2020","4,170.08","4,184.08","4,239.95","4,170.08",67.08M,-0.28%,UAE
"Apr 26, 2020","4,181.84","4,061.98","4,182.94","4,045.94",58.38M,2.93%,UAE
"Apr 23, 2020","4,062.99","3,990.62","4,123.89","3,990.62",90.47M,1.90%,UAE
"Apr 22, 2020","3,987.06","3,860.46","3,987.06","3,800.02",70.27M,3.28%,UAE
"Apr 21, 2020","3,860.46","3,969.05","3,969.05","3,846.53",58.74M,-2.74%,UAE
"Apr 20, 2020","3,969.05","4,083.60","4,104.19","3,962.10",35.96M,-2.81%,UAE
"Apr 19, 2020","4,083.60","3,973.58","4,103.51","3,973.58",25.50M,2.87%,UAE
"Apr 16, 2020","3,969.51","4,126.93","4,126.93","3,969.32",34.40M,-3.83%,UAE
"Apr 15, 2020","4,127.44","4,182.77","4,254.26","4,113.93",33.09M,-1.23%,UAE
"Apr 14, 2020","4,178.70","4,135.03","4,266.34","4,086.22",42.13M,1.05%,UAE
"Apr 13, 2020","4,135.45","4,200.80","4,249.47","4,127.28",66.36M,-1.56%,UAE
"Apr 12, 2020","4,200.80","4,113.67","4,298.49","4,113.67",43.40M,2.12%,UAE
"Apr 09, 2020","4,113.67","3,868.36","4,113.67","3,868.36",54.42M,6.38%,UAE
"Apr 08, 2020","3,866.83","3,930.34","3,930.34","3,827.40",38.91M,-1.56%,UAE
"Apr 07, 2020","3,928.23","3,731.59","3,944.16","3,724.44",77.10M,5.51%,UAE
"Apr 06, 2020","3,722.94","3,668.89","3,723.24","3,655.88",87.41M,1.26%,UAE
"Apr 05, 2020","3,676.46","3,749.20","3,777.48","3,639.86",41.82M,-2.18%,UAE
"Apr 02, 2020","3,758.35","3,733.91","3,758.73","3,672.57",41.47M,0.35%,UAE
"Apr 01, 2020","3,745.10","3,722.99","3,751.20","3,680.39",52.68M,0.28%,UAE
"Mar 31, 2020","3,734.69","3,739.92","3,779.30","3,691.36",72.96M,-0.25%,UAE
"Mar 30, 2020","3,744.13","3,878.84","3,893.10","3,738.70",70.80M,-3.47%,UAE
"Mar 29, 2020","3,878.84","3,759.54","3,885.67","3,688.97",61.55M,2.87%,UAE
"Mar 26, 2020","3,770.73","3,907.14","3,909.74","3,768.38",30.01M,-3.84%,UAE
"Mar 25, 2020","3,921.39","3,653.93","3,923.75","3,653.93",93.30M,7.39%,UAE
"Mar 24, 2020","3,651.40","3,443.35","3,719.84","3,431.65",51.99M,6.08%,UAE
"Mar 23, 2020","3,442.09","3,552.61","3,552.61","3,429.42",43.13M,-3.11%,UAE
"Mar 22, 2020","3,552.61","3,674.88","3,674.88","3,552.61",35.58M,-3.61%,UAE
"Mar 19, 2020","3,685.56","3,397.07","3,715.25","3,307.52",108.11M,8.41%,UAE
"Mar 18, 2020","3,399.61","3,326.91","3,475.71","3,304.36",82.38M,2.29%,UAE
"Mar 17, 2020","3,323.35","3,549.06","3,555.98","3,323.11",122.68M,-6.33%,UAE
"Mar 16, 2020","3,548.04","3,843.65","3,843.65","3,548.04",112.43M,-7.83%,UAE
"Mar 15, 2020","3,849.25","3,930.32","3,976.81","3,751.75",64.36M,-1.86%,UAE
"Mar 12, 2020","3,922.18","4,228.78","4,228.78","3,921.41",140.20M,-7.40%,UAE
"Mar 11, 2020","4,235.51","4,267.73","4,290.78","4,225.18",57.84M,-0.64%,UAE
"Mar 10, 2020","4,262.64","4,034.13","4,310.34","4,031.33",76.42M,5.52%,UAE
"Mar 09, 2020","4,039.59","4,363.83","4,363.83","4,009.12",143.92M,-8.06%,UAE
"Mar 08, 2020","4,393.85","4,625.79","4,625.79","4,326.76",70.12M,-5.37%,UAE
"Mar 05, 2020","4,643.09","4,669.66","4,683.91","4,607.74",38.11M,-0.57%,UAE
"Mar 04, 2020","4,669.66","4,804.14","4,804.14","4,655.55",37.17M,-2.84%,UAE
"Mar 03, 2020","4,806.18","4,763.85","4,870.43","4,763.85",33.77M,0.90%,UAE
"Mar 02, 2020","4,763.48","4,724.16","4,824.84","4,724.16",38.79M,0.84%,UAE
"Mar 01, 2020","4,723.82","4,894.81","4,894.81","4,686.32",68.87M,-3.62%,UAE
"Feb 27, 2020","4,901.43","4,889.67","4,987.96","4,881.67",42.14M,0.22%,UAE
"Feb 26, 2020","4,890.68","4,931.32","4,953.82","4,884.75",44.33M,-0.93%,UAE
"Feb 25, 2020","4,936.37","4,927.26","4,979.44","4,920.12",44.33M,0.11%,UAE
"Feb 24, 2020","4,931.04","5,041.86","5,043.49","4,929.51",61.31M,-2.20%,UAE
"Feb 23, 2020","5,041.86","5,033.98","5,061.09","5,032.93",21.54M,0.17%,UAE
"Feb 20, 2020","5,033.15","5,073.99","5,073.99","5,032.47",29.82M,-0.80%,UAE
"Feb 19, 2020","5,073.82","5,054.68","5,073.82","5,048.38",81.62M,0.36%,UAE
"Feb 18, 2020","5,055.74","5,081.34","5,081.34","5,054.07",27.42M,-0.53%,UAE
"Feb 17, 2020","5,082.46","5,063.64","5,082.50","5,061.27",37.30M,0.39%,UAE
"Feb 16, 2020","5,062.82","5,038.40","5,065.10","5,038.02",22.58M,0.50%,UAE
"Feb 13, 2020","5,037.46","5,065.80","5,068.79","5,017.92",46.55M,-0.56%,UAE
"Feb 12, 2020","5,065.69","5,074.44","5,079.26","5,062.65",50.08M,-0.15%,UAE
"Feb 11, 2020","5,073.38","5,092.45","5,093.64","5,065.37",50.62M,-0.39%,UAE
"Feb 10, 2020","5,093.38","5,090.47","5,106.24","5,088.05",33.31M,0.06%,UAE
"Feb 09, 2020","5,090.21","5,087.27","5,104.07","5,083.66",30.59M,0.06%,UAE
"Feb 06, 2020","5,087.21","5,080.85","5,098.06","5,070.97",40.57M,0.13%,UAE
"Feb 05, 2020","5,080.79","5,095.54","5,106.53","5,059.90",94.88M,-0.29%,UAE
"Feb 04, 2020","5,095.52","5,076.27","5,108.30","5,070.66",39.88M,0.37%,UAE
"Feb 03, 2020","5,076.67","5,118.27","5,140.36","5,060.09",25.03M,-0.77%,UAE
"Feb 02, 2020","5,115.92","5,153.95","5,153.95","5,112.02",12.09M,-0.78%,UAE
"Jan 30, 2020","5,156.19","5,165.99","5,178.29","5,154.39",37.01M,-0.17%,UAE
"Jan 29, 2020","5,165.06","5,175.45","5,211.34","5,163.78",37.80M,-0.25%,UAE
"Jan 28, 2020","5,178.26","5,167.24","5,203.87","5,167.24",31.71M,0.21%,UAE
"Jan 27, 2020","5,167.24","5,224.93","5,236.28","5,166.75",29.80M,-1.20%,UAE
"Jan 26, 2020","5,230.01","5,244.69","5,246.87","5,229.22",17.56M,-0.28%,UAE
"Jan 23, 2020","5,244.69","5,235.04","5,256.06","5,202.65",29.13M,0.20%,UAE
"Jan 22, 2020","5,234.02","5,184.53","5,234.02","5,183.48",30.31M,0.95%,UAE
"Jan 21, 2020","5,184.53","5,212.74","5,214.29","5,182.80",25.66M,-0.55%,UAE
"Jan 20, 2020","5,213.25","5,174.42","5,222.21","5,158.14",22.92M,0.76%,UAE
"Jan 19, 2020","5,174.00","5,180.14","5,189.97","5,169.86",24.48M,-0.10%,UAE
"Jan 16, 2020","5,179.12","5,174.05","5,184.34","5,156.85",27.05M,0.10%,UAE
"Jan 15, 2020","5,174.05","5,168.62","5,174.18","5,135.33",39.24M,0.11%,UAE
"Jan 14, 2020","5,168.62","5,113.75","5,168.62","5,104.83",41.07M,1.07%,UAE
"Jan 13, 2020","5,113.75","5,083.98","5,113.75","5,079.22",38.91M,0.59%,UAE
"Jan 12, 2020","5,083.98","5,075.69","5,089.44","5,075.69",14.78M,0.16%,UAE
"Jan 09, 2020","5,075.69","5,021.90","5,075.69","5,021.90",43.15M,1.12%,UAE
"Jan 08, 2020","5,019.36","5,053.39","5,053.39","4,995.82",24.15M,-0.74%,UAE
"Jan 07, 2020","5,056.75","5,007.68","5,056.75","5,007.68",21.71M,0.98%,UAE
"Jan 06, 2020","5,007.68","5,029.22","5,050.24","5,007.64",35.04M,-0.40%,UAE
"Jan 05, 2020","5,027.96","5,096.20","5,096.20","5,022.05",29.98M,-1.42%,UAE
"Jan 02, 2020","5,100.27","5,075.89","5,100.27","5,070.05",33.19M,0.48%,UAE
"Nov 18, 2020","106,119.09","107,245.54","107,467.25","106,043.35",10.34M,-1.05%,Brazil
"Nov 17, 2020","107,248.63","106,430.04","107,810.31","105,846.62",10.31M,0.77%,Brazil
"Nov 16, 2020","106,429.92","104,728.51","106,518.16","104,728.51",11.72M,1.63%,Brazil
"Nov 13, 2020","104,723.00","102,508.77","104,725.79","102,508.77",9.77M,2.16%,Brazil
"Nov 12, 2020","102,507.01","104,810.06","105,018.66","102,033.75",10.86M,-2.20%,Brazil
"Nov 11, 2020","104,808.83","105,066.96","105,462.33","104,143.47",10.84M,-0.25%,Brazil
"Nov 10, 2020","105,066.96","103,516.37","105,758.29","103,452.64",16.67M,1.50%,Brazil
"Nov 09, 2020","103,515.16","100,953.95","105,146.56","100,953.95",17.41M,2.57%,Brazil
"Nov 06, 2020","100,925.11","100,750.59","101,104.29","99,837.04",8.38M,0.17%,Brazil
"Nov 05, 2020","100,751.40","97,872.82","100,921.63","97,872.27",10.46M,2.95%,Brazil
"Nov 04, 2020","97,866.81","95,991.57","98,296.35","95,987.42",10.70M,1.97%,Brazil
"Nov 03, 2020","95,979.71","93,967.64","96,350.23","93,967.64",10.19M,2.16%,Brazil
"Oct 30, 2020","93,952.40","96,578.75","96,578.75","93,559.19",10.64M,-2.72%,Brazil
"Oct 29, 2020","96,582.16","95,368.43","96,688.25","93,386.55",12.70M,1.27%,Brazil
"Oct 28, 2020","95,368.76","99,597.75","99,597.75","95,368.76",11.05M,-4.25%,Brazil
"Oct 27, 2020","99,605.54","101,017.38","101,660.37","99,413.93",8.67M,-1.40%,Brazil
"Oct 26, 2020","101,016.96","101,259.86","101,783.79","99,761.84",8.07M,-0.24%,Brazil
"Oct 23, 2020","101,259.75","101,917.73","102,217.62","101,188.38",7.56M,-0.65%,Brazil
"Oct 22, 2020","101,917.73","100,552.99","102,020.44","100,456.83",9.56M,1.36%,Brazil
"Oct 21, 2020","100,552.44","100,541.25","101,585.92","100,148.97",8.66M,0.01%,Brazil
"Oct 20, 2020","100,539.83","98,663.89","100,721.83","98,663.89",8.80M,1.91%,Brazil
"Oct 19, 2020","98,657.65","98,310.35","99,917.22","98,309.80",9.93M,0.35%,Brazil
"Oct 16, 2020","98,309.12","99,054.06","99,171.96","98,309.12",7.84M,-0.75%,Brazil
"Oct 15, 2020","99,054.06","99,328.02","99,485.50","97,778.26",8.34M,-0.28%,Brazil
"Oct 14, 2020","99,334.43","98,501.58","99,570.80","98,501.44",8.90M,0.84%,Brazil
"Oct 13, 2020","98,502.82","97,483.49","98,998.47","97,336.30",7.87M,1.05%,Brazil
"Oct 09, 2020","97,483.31","97,924.18","98,641.91","97,161.37",10.81M,-0.45%,Brazil
"Oct 08, 2020","97,919.73","95,529.57","97,937.72","95,529.57",11.16M,2.51%,Brazil
"Oct 07, 2020","95,526.26","95,615.82","96,379.57","94,880.65",9.83M,-0.09%,Brazil
"Oct 06, 2020","95,615.03","96,091.15","97,404.54","95,211.05",11.30M,-0.49%,Brazil
"Oct 05, 2020","96,089.19","94,019.37","96,414.17","93,984.23",8.62M,2.21%,Brazil
"Oct 02, 2020","94,015.68","95,474.63","95,995.70","93,896.61",8.58M,-1.53%,Brazil
"Oct 01, 2020","95,478.52","94,604.15","95,486.33","93,599.05",9.24M,0.93%,Brazil
"Sep 30, 2020","94,603.38","93,585.84","95,340.12","93,584.12",9.49M,1.09%,Brazil
"Sep 29, 2020","93,580.35","94,664.72","95,504.78","93,408.17",8.74M,-1.15%,Brazil
"Sep 28, 2020","94,666.37","97,005.38","98,313.73","94,370.60",10.51M,-2.41%,Brazil
"Sep 25, 2020","96,999.38","97,011.44","97,011.80","95,631.74",7.35M,-0.01%,Brazil
"Sep 24, 2020","97,012.07","95,735.09","97,954.63","95,652.56",9.33M,1.33%,Brazil
"Sep 23, 2020","95,734.82","97,294.37","97,388.94","95,728.13",8.83M,-1.60%,Brazil
"Sep 22, 2020","97,293.54","96,994.52","97,684.16","96,390.28",7.28M,0.31%,Brazil
"Sep 21, 2020","96,990.72","98,282.75","98,282.75","95,820.34",9.74M,-1.32%,Brazil
"Sep 18, 2020","98,289.71","100,097.73","100,101.91","98,044.81",11.37M,-1.81%,Brazil
"Sep 17, 2020","100,097.83","99,673.77","100,250.88","98,561.51",7.86M,0.42%,Brazil
"Sep 16, 2020","99,675.68","100,298.86","100,663.36","99,663.02",7.14M,-0.62%,Brazil
"Sep 15, 2020","100,297.91","100,277.00","100,949.43","99,646.81",9.22M,0.02%,Brazil
"Sep 14, 2020","100,274.52","98,366.62","100,519.80","98,366.62",8.18M,1.94%,Brazil
"Sep 11, 2020","98,363.22","98,839.08","99,434.74","97,757.90",9.11M,-0.48%,Brazil
"Sep 10, 2020","98,834.59","101,291.31","101,536.48","98,686.55",8.89M,-2.43%,Brazil
"Sep 09, 2020","101,292.05","100,050.43","101,578.01","100,050.43",7.96M,1.24%,Brazil
"Sep 08, 2020","100,050.43","101,239.34","101,239.34","99,372.98",8.48M,-1.18%,Brazil
"Sep 04, 2020","101,241.73","100,733.12","101,581.77","98,960.50",11.33M,0.52%,Brazil
"Sep 03, 2020","100,721.36","101,910.94","103,225.58","99,750.80",12.61M,-1.17%,Brazil
"Sep 02, 2020","101,911.13","102,168.42","102,823.88","100,871.79",7.56M,-0.25%,Brazil
"Sep 01, 2020","102,167.65","99,382.02","102,237.93","99,382.02",9.38M,2.82%,Brazil
"Aug 31, 2020","99,369.15","102,141.53","102,141.62","99,369.15",12.23M,-2.72%,Brazil
"Aug 28, 2020","102,142.93","100,631.21","102,347.05","100,631.21",7.67M,1.51%,Brazil
"Aug 27, 2020","100,623.64","100,624.98","101,547.82","99,856.91",7.36M,-0.00%,Brazil
"Aug 26, 2020","100,627.33","102,118.76","102,521.38","99,359.36",9.86M,-1.46%,Brazil
