"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 06, 2020","4,999.22","5,004.40","5,023.89","4,992.48","10.85B","0.82%"
"Oct 05, 2020","4,958.77","4,947.04","4,962.79","4,915.69","7.09B","0.65%"
"Oct 02, 2020","4,926.73","4,969.25","4,972.82","4,881.91","8.88B","-0.87%"
"Oct 01, 2020","4,970.09","4,899.64","4,970.09","4,899.00","9.64B","2.05%"
"Sep 30, 2020","4,870.04","4,896.43","4,903.86","4,841.36","8.54B","-0.19%"
"Sep 29, 2020","4,879.10","4,929.33","4,950.97","4,859.79","8.65B","-0.56%"
"Sep 28, 2020","4,906.55","4,962.95","4,991.76","4,905.51","8.38B","-0.79%"
"Sep 25, 2020","4,945.79","4,867.96","4,949.30","4,848.02","8.88B","2.13%"
"Sep 24, 2020","4,842.76","4,876.35","4,897.34","4,820.33","6.57B","-1.53%"
"Sep 23, 2020","4,917.96","4,946.50","4,984.24","4,873.02","7.06B","-0.33%"
"Sep 22, 2020","4,934.09","4,947.73","4,978.44","4,919.11","7.48B","-1.31%"
"Sep 21, 2020","4,999.36","5,058.99","5,075.82","4,987.75","10.65B","-1.18%"
"Sep 18, 2020","5,059.22","5,037.37","5,072.68","5,023.44","10.58B","0.41%"
"Sep 17, 2020","5,038.40","5,058.95","5,099.58","5,013.19","8.53B","-0.40%"
"Sep 16, 2020","5,058.48","5,108.13","5,117.29","5,051.75","8.88B","-0.83%"
"Sep 15, 2020","5,100.87","5,169.25","5,187.28","5,091.29","11.36B","-1.18%"
"Sep 14, 2020","5,161.83","5,060.02","5,161.83","5,059.27","10.99B","2.89%"
"Sep 11, 2020","5,016.71","4,804.64","5,016.71","4,754.80","12.58B","2.56%"
"Sep 10, 2020","4,891.46","5,084.33","5,084.48","4,878.28","8.24B","-5.01%"
"Sep 09, 2020","5,149.38","5,214.03","5,216.02","5,135.81","10.12B","-1.81%"
"Sep 08, 2020","5,244.07","5,232.92","5,256.31","5,232.92","10.34B","0.27%"
"Sep 07, 2020","5,230.20","5,235.01","5,245.35","5,195.87","8.01B","-0.18%"
"Sep 04, 2020","5,239.85","5,280.81","5,280.76","5,188.61","9.51B","-0.78%"
"Sep 03, 2020","5,280.81","5,311.97","5,331.17","5,242.17","13.69B","-0.59%"
"Sep 02, 2020","5,311.97","5,310.68","5,337.10","5,295.28","12.16B","0.02%"
"Sep 01, 2020","5,310.68","5,238.49","5,310.68","5,219.21","9.05B","1.38%"
"Aug 31, 2020","5,238.49","5,346.66","5,369.45","5,233.14","12.41B","-2.02%"
"Aug 28, 2020","5,346.66","5,371.47","5,381.95","5,325.60","10.80B","-0.46%"
"Aug 27, 2020","5,371.47","5,340.33","5,371.47","5,325.49","13.45B","0.58%"
"Aug 26, 2020","5,340.33","5,338.89","5,351.47","5,324.61","13.77B","0.03%"
"Aug 25, 2020","5,338.89","5,277.04","5,341.38","5,276.96","14.65B","1.17%"
"Aug 24, 2020","5,277.04","5,272.81","5,294.15","5,261.41","13.84B","0.08%"
"Aug 19, 2020","5,272.81","5,295.17","5,327.32","5,268.51","9.27B","-0.42%"
"Aug 18, 2020","5,295.17","5,247.69","5,316.13","5,244.00","9.56B","0.90%"
"Aug 14, 2020","5,247.69","5,239.25","5,255.37","5,221.92","7.04B","0.16%"
"Aug 13, 2020","5,239.25","5,233.45","5,279.35","5,218.41","8.46B","0.11%"
"Aug 12, 2020","5,233.45","5,190.17","5,235.52","5,178.46","9.68B","0.83%"
"Aug 11, 2020","5,190.17","5,157.83","5,201.45","5,157.93","8.84B","0.63%"
"Aug 10, 2020","5,157.83","5,143.89","5,158.68","5,134.87","6.52B","0.27%"
"Aug 07, 2020","5,143.89","5,178.27","5,187.37","5,119.68","9.13B","-0.66%"
"Aug 06, 2020","5,178.27","5,127.05","5,187.96","5,127.10","9.05B","1.00%"
"Aug 05, 2020","5,127.05","5,075.00","5,127.05","5,059.09","8.46B","1.03%"
"Aug 04, 2020","5,075.00","5,006.22","5,075.00","5,006.50","7.38B","1.37%"
"Aug 03, 2020","5,006.22","5,149.63","5,157.27","4,928.47","8.38B","-2.78%"
"Jul 30, 2020","5,149.63","5,111.11","5,149.63","5,091.40","8.07B","0.75%"
"Jul 29, 2020","5,111.11","5,112.99","5,117.35","5,085.34","8.89B","-0.04%"
"Jul 28, 2020","5,112.99","5,116.67","5,143.29","5,097.42","9.19B","-0.07%"
"Jul 27, 2020","5,116.67","5,082.99","5,116.67","5,080.12","10.35B","0.66%"
"Jul 24, 2020","5,082.99","5,145.01","5,149.59","5,074.49","9.70B","-1.21%"
"Jul 23, 2020","5,145.01","5,110.19","5,162.98","5,110.22","9.88B","0.68%"
"Jul 22, 2020","5,110.19","5,114.71","5,142.04","5,099.57","7.95B","-0.09%"
"Jul 21, 2020","5,114.71","5,051.11","5,135.56","5,047.09","8.32B","1.26%"
"Jul 20, 2020","5,051.11","5,079.58","5,100.19","5,031.89","6.86B","-0.56%"
"Jul 17, 2020","5,079.58","5,098.37","5,110.43","5,073.56","6.17B","-0.37%"
"Jul 16, 2020","5,098.37","5,075.80","5,107.26","5,075.80","6.87B","0.44%"
"Jul 15, 2020","5,075.80","5,079.12","5,116.46","5,069.38","8.26B","-0.07%"
