"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2020","10,805.55","11,011.00","11,015.30","10,790.20","706.14K","-2.93%"
"Sep 23, 2020","11,131.85","11,258.75","11,259.55","11,024.40","714.93K","-0.20%"
"Sep 22, 2020","11,153.65","11,301.75","11,302.20","11,084.65","672.25K","-0.86%"
"Sep 21, 2020","11,250.55","11,503.80","11,535.25","11,218.50","602.85K","-2.21%"
"Sep 18, 2020","11,504.95","11,584.10","11,584.10","11,446.10","764.15K","-0.10%"
"Sep 17, 2020","11,516.10","11,539.40","11,587.20","11,498.50","517.73K","-0.76%"
"Sep 16, 2020","11,604.55","11,538.45","11,618.10","11,516.75","527.81K","0.72%"
"Sep 15, 2020","11,521.80","11,487.20","11,535.95","11,442.25","506.67K","0.71%"
"Sep 14, 2020","11,440.05","11,540.15","11,568.90","11,383.55","642.27K","-0.21%"
"Sep 11, 2020","11,464.45","11,447.80","11,493.50","11,419.90","554.79K","0.13%"
"Sep 10, 2020","11,449.25","11,363.30","11,464.05","11,327.40","679.42K","1.52%"
"Sep 09, 2020","11,278.00","11,218.60","11,298.15","11,185.15","728.88K","-0.35%"
"Sep 08, 2020","11,317.35","11,378.55","11,437.25","11,290.45","572.24K","-0.33%"
"Sep 07, 2020","11,355.05","11,359.60","11,381.15","11,251.70","560.32K","0.19%"
"Sep 04, 2020","11,333.85","11,354.40","11,452.05","11,303.65","681.34K","-1.68%"
"Sep 03, 2020","11,527.45","11,566.20","11,584.95","11,507.65","607.12K","-0.07%"
"Sep 02, 2020","11,535.00","11,478.55","11,554.75","11,430.40","593.49K","0.56%"
"Sep 01, 2020","11,470.25","11,464.30","11,553.55","11,366.90","783.77K","0.73%"
"Aug 31, 2020","11,387.50","11,777.55","11,794.25","11,325.85","1.37M","-2.23%"
"Aug 28, 2020","11,647.60","11,602.95","11,686.05","11,589.40","807.00K","0.76%"
"Aug 27, 2020","11,559.25","11,609.30","11,617.35","11,540.60","719.78K","0.08%"
"Aug 26, 2020","11,549.60","11,512.85","11,561.75","11,461.85","743.44K","0.67%"
"Aug 25, 2020","11,472.25","11,513.10","11,525.90","11,423.35","638.15K","0.05%"
"Aug 24, 2020","11,466.45","11,412.00","11,497.25","11,410.65","532.90K","0.83%"
"Aug 21, 2020","11,371.60","11,409.65","11,418.50","11,362.20","668.72K","0.53%"
"Aug 20, 2020","11,312.20","11,317.45","11,361.45","11,289.80","791.59K","-0.84%"
"Aug 19, 2020","11,408.40","11,452.15","11,460.35","11,394.10","626.22K","0.20%"
"Aug 18, 2020","11,385.35","11,259.80","11,401.70","11,253.15","579.24K","1.23%"
"Aug 17, 2020","11,247.10","11,248.90","11,267.10","11,144.50","633.96K","0.61%"
"Aug 14, 2020","11,178.40","11,353.30","11,366.25","11,111.45","645.11K","-1.08%"
"Aug 13, 2020","11,300.45","11,334.85","11,359.30","11,269.95","562.36K","-0.07%"
"Aug 12, 2020","11,308.40","11,289.00","11,322.00","11,242.65","609.86K","-0.12%"
"Aug 11, 2020","11,322.50","11,322.25","11,373.60","11,299.15","586.09K","0.46%"
"Aug 10, 2020","11,270.15","11,270.25","11,337.30","11,238.00","492.00K","0.50%"
"Aug 07, 2020","11,214.05","11,186.65","11,231.90","11,142.05","452.63K","0.12%"
"Aug 06, 2020","11,200.15","11,185.70","11,256.80","11,127.30","600.38K","0.89%"
"Aug 05, 2020","11,101.65","11,155.75","11,225.65","11,064.05","667.64K","0.06%"
"Aug 04, 2020","11,095.25","10,946.65","11,112.25","10,908.10","625.74K","1.87%"
"Aug 03, 2020","10,891.60","11,057.55","11,058.05","10,882.25","680.93K","-1.64%"
"Jul 31, 2020","11,073.45","11,139.50","11,150.40","11,026.65","642.56K","-0.26%"
"Jul 30, 2020","11,102.15","11,254.30","11,299.95","11,084.95","677.76K","-0.90%"
"Jul 29, 2020","11,202.85","11,276.90","11,341.40","11,149.75","600.73K","-0.86%"
"Jul 28, 2020","11,300.55","11,154.10","11,317.75","11,151.40","683.89K","1.52%"
"Jul 27, 2020","11,131.80","11,225.00","11,225.00","11,087.85","588.15K","-0.56%"
"Jul 24, 2020","11,194.15","11,149.95","11,225.40","11,090.30","678.94K","-0.19%"
"Jul 23, 2020","11,215.45","11,135.00","11,239.80","11,103.15","621.58K","0.74%"
"Jul 22, 2020","11,132.60","11,231.20","11,238.10","11,056.55","765.07K","-0.27%"
"Jul 21, 2020","11,162.25","11,126.10","11,179.55","11,113.25","772.00K","1.27%"
"Jul 20, 2020","11,022.20","10,999.45","11,037.90","10,953.00","554.31K","1.11%"
"Jul 17, 2020","10,901.70","10,752.00","10,933.45","10,749.65","676.88K","1.51%"
"Jul 16, 2020","10,739.95","10,706.20","10,755.30","10,595.20","694.40K","1.15%"
"Jul 15, 2020","10,618.20","10,701.00","10,827.45","10,577.75","715.90K","0.10%"
"Jul 14, 2020","10,607.35","10,750.85","10,755.65","10,562.90","532.37K","-1.81%"
"Jul 13, 2020","10,802.70","10,851.85","10,894.05","10,756.05","554.05K","0.32%"
"Jul 10, 2020","10,768.05","10,764.10","10,819.40","10,713.00","590.71K","-0.42%"
"Jul 09, 2020","10,813.45","10,755.55","10,836.85","10,733.00","618.65K","1.01%"
"Jul 08, 2020","10,705.75","10,818.65","10,847.85","10,676.55","767.94K","-0.87%"
"Jul 07, 2020","10,799.65","10,802.85","10,813.80","10,689.70","636.77K","0.33%"
"Jul 06, 2020","10,763.65","10,723.85","10,811.40","10,695.10","571.21K","1.47%"
"Jul 03, 2020","10,607.35","10,614.95","10,631.30","10,562.65","525.19K","0.53%"
"Jul 02, 2020","10,551.70","10,493.05","10,598.20","10,485.55","597.42K","1.17%"
"Jul 01, 2020","10,430.05","10,323.80","10,447.05","10,299.60","573.55K","1.24%"
"Jun 30, 2020","10,302.10","10,382.60","10,401.05","10,267.35","556.24K","-0.10%"
"Jun 29, 2020","10,312.40","10,311.95","10,337.95","10,223.60","574.54K","-0.68%"
"Jun 26, 2020","10,383.00","10,378.90","10,409.85","10,311.25","671.91K","0.91%"
"Jun 25, 2020","10,288.90","10,235.55","10,361.80","10,194.50","994.19K","-0.16%"
"Jun 24, 2020","10,305.30","10,529.25","10,553.15","10,281.95","854.80K","-1.58%"
"Jun 23, 2020","10,471.00","10,347.95","10,484.70","10,301.75","669.20K","1.55%"
"Jun 22, 2020","10,311.20","10,318.75","10,393.65","10,277.60","685.39K","0.65%"
