"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 27, 2020","6,126.20","6,116.40","6,159.80","6,116.40","863.79M","0.16%"
"Aug 26, 2020","6,116.40","6,160.40","6,160.40","6,079.80","879.70M","-0.73%"
"Aug 25, 2020","6,161.40","6,129.60","6,199.20","6,129.60","898.35M","0.52%"
"Aug 24, 2020","6,129.60","6,111.20","6,134.80","6,094.70","785.16M","0.30%"
"Aug 21, 2020","6,111.20","6,120.00","6,166.40","6,104.80","812.22M","-0.14%"
"Aug 20, 2020","6,120.00","6,167.60","6,167.60","6,096.70","866.09M","-0.77%"
"Aug 19, 2020","6,167.60","6,123.40","6,196.60","6,122.50","879.40M","0.72%"
"Aug 18, 2020","6,123.40","6,076.40","6,139.30","6,075.60","805.49M","0.77%"
"Aug 17, 2020","6,076.40","6,126.20","6,126.20","6,059.30","686.57M","-0.81%"
"Aug 14, 2020","6,126.20","6,091.00","6,139.10","6,091.00","734.64M","0.58%"
"Aug 13, 2020","6,091.00","6,132.00","6,157.30","6,075.80","871.59M","-0.67%"
"Aug 12, 2020","6,132.00","6,138.70","6,154.50","6,101.10","771.47M","-0.11%"
"Aug 11, 2020","6,138.70","6,110.20","6,186.10","6,110.20","714.14M","0.47%"
"Aug 10, 2020","6,110.20","6,004.80","6,125.30","6,004.80","640.57M","1.76%"
"Aug 07, 2020","6,004.80","6,042.20","6,042.20","5,993.40","612.54M","-0.62%"
"Aug 06, 2020","6,042.20","6,001.30","6,049.30","6,001.30","689.00M","0.68%"
"Aug 05, 2020","6,001.30","6,037.60","6,037.60","5,964.90","629.09M","-0.60%"
"Aug 04, 2020","6,037.60","5,926.10","6,059.50","5,926.10","689.61M","1.88%"
"Aug 03, 2020","5,926.10","5,927.80","5,947.10","5,860.70","729.13M","-0.03%"
"Jul 31, 2020","5,927.80","6,051.10","6,051.10","5,893.20","879.06M","-2.04%"
"Jul 30, 2020","6,051.10","6,006.40","6,067.00","6,006.40","664.05M","0.74%"
"Jul 29, 2020","6,006.40","6,020.50","6,051.10","6,000.70","665.99M","-0.23%"
"Jul 28, 2020","6,020.50","6,044.20","6,113.80","6,019.80","718.91M","-0.39%"
"Jul 27, 2020","6,044.20","6,024.00","6,044.50","6,013.10","540.09M","0.34%"
"Jul 24, 2020","6,024.00","6,094.50","6,094.50","6,010.70","547.03M","-1.16%"
"Jul 23, 2020","6,094.50","6,075.10","6,102.70","6,052.10","622.97M","0.32%"
"Jul 22, 2020","6,075.10","6,156.30","6,156.30","6,055.50","609.70M","-1.32%"
"Jul 21, 2020","6,156.30","6,001.60","6,160.60","6,001.60","694.75M","2.58%"
"Jul 20, 2020","6,001.60","6,033.60","6,038.80","5,991.90","480.11M","-0.53%"
"Jul 17, 2020","6,033.60","6,010.90","6,042.40","5,999.40","583.24M","0.38%"
