"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2020","50,741.94","50,697.69","51,008.79","50,604.87","-","0.09%"
"Oct 16, 2020","50,697.69","50,503.89","50,874.63","50,503.89","93.78M","0.38%"
"Oct 15, 2020","50,503.89","51,041.59","51,041.59","50,041.85","-","-1.05%"
"Oct 14, 2020","51,041.59","50,722.36","51,176.26","50,689.58","-","0.63%"
"Oct 13, 2020","50,722.36","51,158.56","51,257.17","50,650.22","-","-0.85%"
"Oct 12, 2020","51,158.56","50,781.18","51,357.47","50,780.78","-","0.74%"
"Oct 09, 2020","50,781.18","50,131.37","50,799.03","50,128.78","91.31M","1.30%"
"Oct 08, 2020","50,131.37","50,412.19","50,597.09","50,036.65","-","-0.56%"
"Oct 07, 2020","50,412.19","49,869.36","50,412.19","49,693.53","-","1.09%"
"Oct 06, 2020","49,869.36","50,183.12","50,568.64","49,847.58","-","-0.63%"
"Oct 05, 2020","50,183.12","49,896.68","50,374.65","49,870.73","-","0.57%"
"Oct 02, 2020","49,896.68","50,159.14","50,200.88","49,520.04","165.55M","-0.52%"
"Oct 01, 2020","50,159.14","50,042.44","50,521.24","49,970.97","-","0.23%"
"Sep 30, 2020","50,042.44","50,319.94","50,498.34","49,939.99","-","-0.55%"
"Sep 29, 2020","50,319.94","50,578.66","50,634.45","50,196.00","-","-0.51%"
"Sep 28, 2020","50,578.66","49,547.74","50,755.32","49,514.17","-","2.08%"
"Sep 25, 2020","49,547.74","50,127.05","50,129.38","48,912.36","128.85M","-1.16%"
"Sep 23, 2020","50,127.05","49,126.16","50,517.43","49,060.56","-","2.04%"
"Sep 22, 2020","49,126.16","49,153.11","49,473.97","48,917.39","-","-0.05%"
"Sep 21, 2020","49,153.11","50,399.16","50,417.21","48,884.99","-","-2.47%"
"Sep 18, 2020","50,399.16","50,700.14","50,936.98","50,303.25","333.88M","-0.59%"
"Sep 17, 2020","50,700.14","51,629.73","51,629.73","50,397.20","-","-1.80%"
"Sep 16, 2020","51,629.73","51,795.70","51,973.95","51,492.31","-","-0.32%"
"Sep 15, 2020","51,795.70","51,976.82","52,406.56","51,677.21","-","-0.35%"
"Sep 14, 2020","51,976.82","51,715.12","52,331.04","51,638.04","-","0.51%"
"Sep 11, 2020","51,715.12","51,532.12","51,894.15","51,382.93","149.06M","0.36%"
"Sep 10, 2020","51,532.12","50,838.92","51,921.17","50,630.51","-","1.36%"
"Sep 09, 2020","50,838.92","50,182.96","50,877.92","50,182.96","-","1.31%"
"Sep 08, 2020","50,182.96","50,185.43","50,470.19","49,849.72","-","-0.00%"
"Sep 07, 2020","50,185.43","49,720.42","50,306.40","49,654.43","-","0.94%"
"Sep 04, 2020","49,720.42","50,319.16","50,422.85","49,504.48","135.99M","-1.19%"
"Sep 03, 2020","50,319.16","51,678.30","51,693.82","50,291.94","-","-2.63%"
"Sep 02, 2020","51,678.30","51,704.10","52,243.47","51,491.65","-","-0.05%"
"Sep 01, 2020","51,704.10","51,225.46","52,243.15","51,145.96","-","0.93%"
"Aug 31, 2020","51,225.46","51,750.45","52,225.90","51,038.80","-","-1.01%"
"Aug 28, 2020","51,750.45","52,583.70","52,656.60","51,517.68","112.92M","-1.58%"
"Aug 27, 2020","52,583.70","52,256.85","53,075.70","52,244.28","-","0.63%"
"Aug 26, 2020","52,256.85","51,767.88","52,287.22","51,501.86","-","0.94%"
"Aug 25, 2020","51,767.88","52,256.84","52,481.95","51,694.44","-","-0.94%"
"Aug 24, 2020","52,256.84","51,669.18","52,715.19","51,617.79","-","1.14%"
"Aug 21, 2020","51,669.18","51,380.02","52,111.36","51,138.80","124.31M","0.56%"
"Aug 20, 2020","51,380.02","52,137.86","52,137.86","51,020.66","-","-1.45%"
"Aug 19, 2020","52,137.86","52,738.12","52,738.12","52,069.34","-","-1.14%"
"Aug 18, 2020","52,738.12","53,140.21","53,321.89","52,547.98","-","-0.76%"
"Aug 17, 2020","53,140.21","52,737.48","53,380.34","52,681.12","-","0.76%"
"Aug 14, 2020","52,737.48","53,082.08","53,087.26","52,586.88","110.02M","-0.65%"
"Aug 13, 2020","53,082.08","53,126.54","53,161.71","52,504.00","-","-0.08%"
"Aug 12, 2020","53,126.54","52,831.61","53,304.89","52,507.32","-","0.56%"
"Aug 11, 2020","52,831.61","52,435.65","53,340.44","52,138.13","-","0.76%"
"Aug 07, 2020","52,435.65","53,350.88","53,350.88","52,218.27","115.70M","-1.72%"
"Aug 06, 2020","53,350.88","53,279.30","53,788.55","53,151.95","-","0.13%"
"Aug 05, 2020","53,279.30","51,951.34","53,469.53","51,951.34","-","2.56%"
"Aug 04, 2020","51,951.34","51,571.71","52,086.25","51,571.71","-","0.74%"
"Aug 03, 2020","51,571.71","51,368.82","52,040.71","51,124.50","-","0.39%"
"Jul 31, 2020","51,368.82","51,451.44","52,267.12","51,297.34","199.45M","-0.16%"
"Jul 30, 2020","51,451.44","52,245.75","52,604.11","51,310.84","-","-1.52%"
"Jul 29, 2020","52,245.75","52,043.05","52,331.62","51,822.71","-","0.39%"
"Jul 28, 2020","52,043.05","51,914.08","52,140.05","51,565.73","-","0.25%"
"Jul 27, 2020","51,914.08","51,259.48","52,035.77","51,194.89","-","1.28%"
"Jul 24, 2020","51,259.48","51,683.61","51,683.61","50,870.54","144.92M","-0.82%"
"Jul 23, 2020","51,683.61","51,412.02","52,067.49","51,412.02","-","0.53%"
"Jul 22, 2020","51,412.02","52,016.52","52,059.41","51,141.98","-","-1.16%"
"Jul 21, 2020","52,016.52","51,852.22","52,979.98","51,852.22","-","0.32%"
"Jul 20, 2020","51,852.22","51,515.88","52,040.51","51,297.46","132.48M","0.65%"
"Jul 17, 2020","51,515.88","51,363.49","51,607.43","51,253.04","99.41M","0.30%"
"Jul 16, 2020","51,363.49","51,606.70","51,615.59","50,602.07","-","-0.47%"
"Jul 15, 2020","51,606.70","51,235.09","52,098.85","51,207.95","-","0.73%"
"Jul 14, 2020","51,235.09","51,874.81","51,874.81","50,765.03","-","-1.23%"
"Jul 13, 2020","51,874.81","51,154.08","51,964.77","51,138.40","-","1.41%"
"Jul 10, 2020","51,154.08","51,536.91","51,695.46","50,769.03","184.35M","-0.74%"
"Jul 09, 2020","51,536.91","51,558.75","52,201.40","51,536.91","-","-0.04%"
"Jul 08, 2020","51,558.75","50,922.32","51,605.34","50,813.45","185.94M","1.25%"
"Jul 07, 2020","50,922.32","50,503.91","50,976.94","50,271.52","-","0.83%"
"Jul 06, 2020","50,503.91","50,179.89","50,881.46","50,162.58","-","0.65%"
"Jul 03, 2020","50,179.89","50,309.77","50,627.90","50,072.12","76.33M","-0.26%"
"Jul 02, 2020","50,309.77","49,570.88","50,678.26","49,564.53","-","1.49%"
"Jul 01, 2020","49,570.88","50,174.95","50,374.73","49,372.58","-","-1.20%"
"Jun 30, 2020","50,174.95","49,920.09","50,371.03","49,842.37","-","0.51%"
"Jun 29, 2020","49,920.09","49,477.85","50,046.88","49,197.33","-","0.89%"
"Jun 26, 2020","49,477.85","49,732.92","50,180.48","49,464.47","149.34M","-0.51%"
"Jun 25, 2020","49,732.92","50,193.80","50,193.80","49,442.07","-","-0.92%"
"Jun 24, 2020","50,193.80","51,193.19","51,321.08","50,008.25","-","-1.95%"
"Jun 23, 2020","51,193.19","49,877.86","51,343.26","49,876.96","-","2.64%"
"Jun 22, 2020","49,877.86","49,812.34","50,302.16","49,611.11","-","0.13%"
"Jun 19, 2020","49,812.34","49,589.11","50,249.35","49,589.11","605.55M","0.45%"
"Jun 18, 2020","49,589.11","49,661.14","49,942.38","49,154.79","-","-0.15%"
"Jun 17, 2020","49,661.14","47,919.52","47,919.52","47,919.52","-","3.63%"
"Jun 15, 2020","47,919.52","49,247.69","49,247.69","47,604.81","-","-2.70%"
"Jun 12, 2020","49,247.69","48,892.12","49,376.74","47,848.93","184.19M","0.73%"
"Jun 11, 2020","48,892.12","49,204.82","49,204.82","47,998.78","-","-0.64%"
"Jun 10, 2020","49,204.82","49,915.74","49,915.74","49,025.56","-","-1.42%"
"Jun 09, 2020","49,915.74","50,117.63","50,117.63","49,520.57","-","-0.40%"
"Jun 08, 2020","50,117.63","50,199.80","50,199.80","49,749.58","271.82M","-0.16%"
"Jun 05, 2020","50,199.80","48,837.53","50,404.19","48,830.09","286.52M","2.79%"
"Jun 04, 2020","48,837.53","49,300.10","49,300.10","48,738.88","-","-0.94%"
"Jun 03, 2020","49,300.10","48,318.29","48,318.29","48,318.29","-","2.03%"
"Jun 02, 2020","48,318.29","46,950.12","46,950.12","46,945.53","-","2.91%"
"Jun 01, 2020","46,950.12","46,544.79","46,544.79","46,541.05","-","0.87%"
"May 29, 2020","46,544.79","47,440.06","47,440.06","46,487.89","820.50M","-1.89%"
"May 28, 2020","47,440.06","46,600.64","46,600.64","46,514.24","-","1.80%"
"May 27, 2020","46,600.64","46,795.97","46,795.97","46,405.89","-","-0.42%"
"May 26, 2020","46,795.97","46,351.26","46,351.26","46,351.26","-","0.96%"
"May 25, 2020","46,351.26","46,432.04","46,432.04","46,098.53","-","-0.17%"
"May 22, 2020","46,432.04","47,232.26","47,232.26","45,765.92","214.61M","-1.69%"
"May 21, 2020","47,232.26","48,379.91","48,379.91","47,232.26","-","-2.37%"
"May 20, 2020","48,379.91","48,160.65","48,160.65","47,996.36","-","0.37%"
"May 19, 2020","48,202.95","47,931.95","48,267.25","47,778.95","-","1.08%"
"May 18, 2020","47,689.95","45,948.36","47,701.95","45,948.36","-","3.79%"
"May 15, 2020","45,948.36","45,445.10","46,358.03","45,280.42","172.95M","1.11%"
"May 14, 2020","45,445.10","46,416.44","46,416.44","45,135.85","204.69M","-2.09%"
"May 13, 2020","46,416.44","46,518.03","46,972.59","45,589.61","197.97M","-0.22%"
"May 12, 2020","46,518.03","46,359.51","46,991.24","46,330.82","197.12M","0.34%"
"May 11, 2020","46,359.51","47,061.57","47,349.42","46,293.79","165.99M","-1.49%"
"May 08, 2020","47,061.57","46,096.03","47,191.58","46,096.03","211.22M","2.09%"
"May 07, 2020","46,096.03","45,952.52","46,354.09","45,693.21","180.11M","0.31%"
"May 06, 2020","45,952.52","45,210.39","46,021.79","45,012.67","188.51M","1.64%"
"May 05, 2020","45,210.39","45,254.03","45,764.45","44,993.25","208.64M","-0.10%"
"May 04, 2020","45,254.03","46,348.26","46,348.26","44,460.48","220.68M","-2.36%"
"Apr 30, 2020","46,348.26","46,831.62","47,221.87","46,064.95","237.70M","-1.03%"
"Apr 29, 2020","46,831.62","46,100.71","46,831.62","45,985.70","232.51M","1.59%"
"Apr 28, 2020","46,100.71","45,595.47","46,409.46","45,548.07","263.49M","1.11%"
"Apr 24, 2020","45,595.47","45,661.96","45,719.61","44,995.76","248.79M","-0.15%"
"Apr 23, 2020","45,661.96","44,248.82","45,781.41","44,248.82","201.09M","3.19%"
"Apr 22, 2020","44,248.82","43,737.55","44,322.70","43,702.80","200.34M","1.17%"
"Apr 21, 2020","43,737.55","44,796.92","44,796.92","43,362.61","191.33M","-2.36%"
"Apr 20, 2020","44,796.92","45,044.37","45,240.53","44,198.44","166.59M","-0.55%"
"Apr 17, 2020","45,044.37","44,180.00","45,673.52","44,180.00","191.67M","1.96%"
"Apr 16, 2020","44,180.00","44,202.90","44,957.28","44,143.49","258.22M","-0.05%"
"Apr 15, 2020","44,202.90","45,580.91","45,581.90","43,884.35","261.35M","-3.02%"
"Apr 14, 2020","45,580.91","43,837.45","45,677.23","43,837.45","252.73M","3.98%"
"Apr 09, 2020","43,837.45","42,772.20","43,881.66","42,506.12","262.16M","2.49%"
"Apr 08, 2020","42,772.20","43,590.00","43,593.98","42,495.36","229.01M","-1.88%"
"Apr 07, 2020","43,590.00","42,534.54","44,309.88","42,508.05","294.52M","2.48%"
"Apr 06, 2020","42,534.54","40,873.41","42,780.16","40,873.41","191.15M","4.06%"
"Apr 03, 2020","40,873.41","41,245.26","41,245.26","40,362.37","246.32M","-0.90%"
"Apr 02, 2020","41,245.26","40,027.41","41,245.26","40,005.41","224.50M","3.04%"
"Apr 01, 2020","40,027.41","40,738.57","40,738.57","39,255.82","219.40M","-1.75%"
"Mar 31, 2020","40,738.57","39,756.74","40,738.57","39,742.80","305.43M","2.47%"
"Mar 30, 2020","39,756.74","39,172.39","39,172.39","39,069.53","-","1.49%"
"Mar 27, 2020","39,172.39","41,110.45","41,110.45","38,839.12","287.71M","-4.71%"
"Mar 26, 2020","41,110.45","39,493.22","39,493.22","39,174.61","-","4.09%"
"Mar 25, 2020","39,493.22","37,550.72","37,550.72","37,550.72","-","5.17%"
"Mar 24, 2020","37,550.72","34,695.90","34,695.90","34,695.90","-","8.23%"
"Mar 23, 2020","34,695.90","36,302.30","36,302.30","33,787.43","-","-4.43%"
"Mar 20, 2020","36,302.30","34,239.30","36,302.30","34,239.30","-","6.03%"
"Mar 19, 2020","34,239.30","34,715.64","34,715.64","33,407.74","-","-1.37%"
"Mar 18, 2020","34,715.64","37,375.33","37,375.33","34,198.88","-","-7.12%"
"Mar 17, 2020","37,375.33","36,301.81","37,375.33","36,150.86","350.98M","2.96%"
"Mar 16, 2020","36,301.81","39,476.09","39,476.09","34,616.10","341.38M","-8.04%"
"Mar 13, 2020","39,476.09","39,536.18","39,536.18","39,327.82","326.14M","-0.15%"
"Mar 12, 2020","39,536.18","43,891.49","43,891.49","39,300.54","407.63M","-9.92%"
"Mar 11, 2020","43,891.49","44,252.34","44,252.34","43,718.82","203.66M","-0.82%"
"Mar 10, 2020","44,252.34","43,687.17","45,286.35","43,687.17","248.34M","1.29%"
"Mar 09, 2020","43,687.17","46,759.72","46,759.72","43,423.29","283.87M","-6.57%"
"Mar 06, 2020","46,759.72","47,618.75","47,618.75","46,275.27","238.10M","-1.80%"
"Mar 05, 2020","47,618.75","47,560.68","47,560.68","47,346.64","192.55M","0.12%"
"Mar 04, 2020","47,560.68","47,671.24","47,671.24","47,360.53","188.80M","-0.23%"
"Mar 03, 2020","47,671.24","46,648.20","48,117.78","46,648.20","201.26M","3.97%"
"Mar 02, 2020","45,851.76","45,851.76","48,032.83","45,615.99","407.63M","0.00%"
"Feb 28, 2020","45,851.76","48,032.83","51,682.95","45,851.76","55.95M","-4.54%"
"Feb 27, 2020","48,032.83","49,500.52","49,500.52","47,990.77","176.86M","-2.97%"
"Feb 26, 2020","49,500.52","49,303.27","49,695.03","48,204.22","247.81M","0.40%"
"Feb 25, 2020","49,303.27","49,282.53","49,972.10","49,136.12","180.65M","0.04%"
"Feb 24, 2020","49,282.53","51,582.43","51,587.64","49,102.02","225.33M","-4.46%"
"Feb 21, 2020","51,582.43","52,033.26","52,033.26","51,147.94","153.00M","-0.87%"
"Feb 20, 2020","52,033.26","52,126.58","52,490.56","51,987.49","149.20M","-0.18%"
"Feb 19, 2020","52,126.58","51,922.16","52,245.31","51,892.85","-","0.39%"
"Feb 18, 2020","51,922.16","52,357.57","52,357.57","51,694.45","145.75M","-0.83%"
